Category,Twitter Account,Full Name,Description
"💼 Business, Finance & Entrepreneurship",@WSJ,The Wall Street Journal,Financial News
"💼 Business, Finance & Entrepreneurship",@HarvardBiz,Harvard Business Review,Management Mag
"💼 Business, Finance & Entrepreneurship",@TheEconomist,The Economist,Global Economics
"💼 Business, Finance & Entrepreneurship",@Bloomberg,Bloomberg,Financial Data & News
"💼 Business, Finance & Entrepreneurship",@CNBC,CNBC,Financial TV Network
"💼 Business, Finance & Entrepreneurship",@RayDalio,Ray Dalio,Investor
"💼 Business, Finance & Entrepreneurship",@WarrenBuffett,Warren Buffett,Investor
"💼 Business, Finance & Entrepreneurship",@sundarpichai,Sundar Pichai,Google CEO
"💼 Business, Finance & Entrepreneurship",@YahooFinance,Yahoo Finance,Market Data
"🎨 Art, Architecture & Design",@MuseumModernArt,MoMA,Museum
"🎨 Art, Architecture & Design",@Guggenheim,Guggenheim,Museum
"🎨 Art, Architecture & Design",@Tate,Tate,Galleries
"🎨 Art, Architecture & Design",@metmuseum,The Met,Museum
"🎨 Art, Architecture & Design",@aiww,Ai Weiwei,Contemporary Artist
"🎨 Art, Architecture & Design",@beeple,Beeple,Digital Artist
"🎨 Art, Architecture & Design",@archdigest,Architectural Digest,Magazine
"🎨 Art, Architecture & Design",@dezeen,Dezeen,Architecture & Design Mag
"🎨 Art, Architecture & Design",@designboom,designboom,Industrial & Digital Design
"🎨 Art, Architecture & Design",@Artnet,artnet,Art Market News
"🎨 Art, Architecture & Design",@artsy,Artsy,Art Collecting
"🎨 Art, Architecture & Design",@Pantone,PANTONE,Color Institute
"🎨 Art, Architecture & Design",@NatGeoPhotos,Nat Geo Photography,Photography
"🎨 Art, Architecture & Design",@MagnumPhotos,Magnum Photos,Photography Coop
"🎨 Art, Architecture & Design",@ChristiesInc,Christie's,Auction House
"🎨 Art, Architecture & Design",@Sothebys,Sotheby's,Auction House
"🧘‍♀️ Health, Fitness & Wellness",@calm,Calm,Mental Health App
"🧘‍♀️ Health, Fitness & Wellness",@Headspace,Headspace,Meditation App
"🧘‍♀️ Health, Fitness & Wellness",@DeepakChopra,Deepak Chopra,Alternative Medicine
"🧘‍♀️ Health, Fitness & Wellness",@gwynethpaltrow,Gwyneth Paltrow / Goop,Wellness Lifestyle
"🧘‍♀️ Health, Fitness & Wellness",@ChrisHemsworth,Chris Hemsworth,Actor / Centr Fitness App
"🧘‍♀️ Health, Fitness & Wellness",@TheRock,Dwayne Johnson,Actor / Fitness Motivator
"🧘‍♀️ Health, Fitness & Wellness",@JillianMichaels,Jillian Michaels,Personal Trainer
"🧘‍♀️ Health, Fitness & Wellness",@tonyrobbins,Tony Robbins,Life Coach
"🧘‍♀️ Health, Fitness & Wellness",@hubermanlab,Andrew Huberman,Neuroscientist / Health Podcaster
"🧘‍♀️ Health, Fitness & Wellness",@PeterAttiaMD,Peter Attia,Longevity Doctor
"🧘‍♀️ Health, Fitness & Wellness",@who,World Health Organization,Global Health
"🧘‍♀️ Health, Fitness & Wellness",@MensHealthMag,Men's Health,Fitness Magazine
"🧘‍♀️ Health, Fitness & Wellness",@WomensHealthMag,Women's Health,Fitness Magazine
"🧘‍♀️ Health, Fitness & Wellness",@runnersworld,Runner's World,Running Community
"🧘‍♀️ Health, Fitness & Wellness",@myfitnesspal,MyFitnessPal,Diet & Fitness Tracking
"🧘‍♀️ Health, Fitness & Wellness",@RichRoll,Rich Roll,Ultra-athlete & Wellness Podcaster
"✈️ Travel, Adventure & Outdoors",@LonelyPlanet,Lonely Planet,Travel Guides
"✈️ Travel, Adventure & Outdoors",@CNTraveler,Condé Nast Traveler,Luxury Travel
"✈️ Travel, Adventure & Outdoors",@TravelLeisure,Travel + Leisure,Travel Magazine
"✈️ Travel, Adventure & Outdoors",@Airbnb,Airbnb,Travel & Stays
"✈️ Travel, Adventure & Outdoors",@BearGrylls,Bear Grylls,Survivalist
"✈️ Travel, Adventure & Outdoors",@PaulNicklen,Paul Nicklen,Wildlife Photographer
"✈️ Travel, Adventure & Outdoors",@RickSteves,Rick Steves,European Travel Guide
"✈️ Travel, Adventure & Outdoors",@ThePointsGuy,The Points Guy,Travel Hacking
"✈️ Travel, Adventure & Outdoors",@NatGeoTravel,Nat Geo Travel,Travel Exploration
"✈️ Travel, Adventure & Outdoors",@AFARmedia,AFAR,Experiential Travel
"✈️ Travel, Adventure & Outdoors",@earthpix,EarthPix,Travel Photography
"✈️ Travel, Adventure & Outdoors",@Discovery,Discovery,Exploration Channel
"✈️ Travel, Adventure & Outdoors",@Smithsonian,Smithsonian,Museum & Research
"✈️ Travel, Adventure & Outdoors",@Tripadvisor,Tripadvisor,Travel Reviews
"✈️ Travel, Adventure & Outdoors",@Expedia,Expedia,Booking Platform
"✈️ Travel, Adventure & Outdoors",@AlexHonnold,Alex Honnold,Free Solo Climber
"✈️ Travel, Adventure & Outdoors",@NatGeoMag,National Geographic Magazine,World Cultures
"✨ Spirituality, Religion & Philosophy",@DalaiLama,The Dalai Lama,Tibetan Buddhist Leader
"✨ Spirituality, Religion & Philosophy",@Pontifex,Pope Francis,Leader of the Catholic Church
"✨ Spirituality, Religion & Philosophy",@EckhartTolle,Eckhart Tolle,Spiritual Teacher & Author
"✨ Spirituality, Religion & Philosophy",@SadhguruJV,Sadhguru,Yogi & Founder of Isha Foundation
"✨ Spirituality, Religion & Philosophy",@muftimenk,Mufti Menk,Islamic Scholar
"✨ Spirituality, Religion & Philosophy",@RichardDawkins,Richard Dawkins,Evolutionary Biologist & Prominent Atheist
"✨ Spirituality, Religion & Philosophy",@DailyStoic,Daily Stoic,Stoic Philosophy & Mindfulness
"✨ Spirituality, Religion & Philosophy",@SamHarrisOrg,Sam Harris,"Philosopher, Neuroscientist & Skeptic"
"✨ Spirituality, Religion & Philosophy",@tarabrach,Tara Brach,Meditation Teacher & Psychologist
"✨ Spirituality, Religion & Philosophy",@alaindebotton,Alain de Botton,Philosopher (The School of Life)
"✨ Spirituality, Religion & Philosophy",@JoyceMeyer,Joyce Meyer,Christian Author & Speaker
"✨ Spirituality, Religion & Philosophy",@YasminMogahed,Yasmin Mogahed,Muslim Scholar & Author
"✨ Spirituality, Religion & Philosophy",@RickWarren,Rick Warren,Pastor & Christian Author
"✨ Spirituality, Religion & Philosophy",@DeepakChopra,Deepak Chopra,Alternative Medicine & New Age Advocate
"✨ Spirituality, Religion & Philosophy",@PeterSinger,Peter Singer,Moral Philosopher & Bioethicist
"✨ Spirituality, Religion & Philosophy",@BabaRamDass,Ram Dass,Late Spiritual Teacher & Author
"✨ Spirituality, Religion & Philosophy",@Rumi_Quote,Rumi,Sufi Mystic Poetry
"✨ Spirituality, Religion & Philosophy",@ThichNhatHanh,Thich Nhat Hanh,Zen Master & Peace Activist
🌍 Activism & Social Impact,@GretaThunberg,Greta Thunberg,Climate Activist
🌍 Activism & Social Impact,@Malala,Malala Yousafzai,Education Activist & Nobel Laureate
🌍 Activism & Social Impact,@BerniceKing,Beatrice A. King,CEO of Martin Luther King Jr. Center
🌍 Activism & Social Impact,@amnesty,Amnesty International,Human Rights NGO
🌍 Activism & Social Impact,@ACLU,ACLU,Civil Rights Organization
🌍 Activism & Social Impact,@hrw,Human Rights Watch,Human Rights Advocacy
🌍 Activism & Social Impact,@Greenpeace,Greenpeace,Environmental NGO
🌍 Activism & Social Impact,@blklivesmatter,Black Lives Matter,Social Justice Movement
🌍 Activism & Social Impact,@HRC,Human Rights Campaign,LGBTQ+ Advocacy
🌍 Activism & Social Impact,@aliciagarza,Alicia Garza,Civil Rights Activist
🌍 Activism & Social Impact,@ndncollective,NDN Collective,Indigenous Rights Activism
🌍 Activism & Social Impact,@UNICEF,UNICEF,Children's Rights
🌍 Activism & Social Impact,@WWF,World Wildlife Fund,Conservation
🌍 Activism & Social Impact,@glaad,GLAAD,LGBTQ+ Media Advocacy
🌍 Activism & Social Impact,@NPR,NPR,Public Radio
🌍 Activism & Social Impact,@EJI_org,Equal Justice Initiative,Criminal Justice Reform
🌍 Activism & Social Impact,@shannonrwatts,Shannon Watts,Gun Violence Prevention Activist
🌍 Activism & Social Impact,@Oxfam,Oxfam International,Poverty Alleviation
👻 True Crime & Unexplained Mysteries,@CrimeJunkiePod,Crime Junkie,True Crime Podcast
👻 True Crime & Unexplained Mysteries,@serial,Serial,Investigative Journalism Podcast
👻 True Crime & Unexplained Mysteries,@Unsolved,Unsolved Mysteries,Iconic TV Show Account
👻 True Crime & Unexplained Mysteries,@BaileySarian,Bailey Sarian,"Murder, Mystery & Makeup"
👻 True Crime & Unexplained Mysteries,@DiscoveryID,Investigation Discovery,True Crime Network
👻 True Crime & Unexplained Mysteries,@LPontheleft,Last Podcast on the Left,True Crime & Comedy
👻 True Crime & Unexplained Mysteries,@DatelineNBC,Dateline NBC,News & True Crime
👻 True Crime & Unexplained Mysteries,@NancyGrace,Nancy Grace,Legal Commentator
👻 True Crime & Unexplained Mysteries,@TrueCrimeObsess,True Crime Obsessed,Podcast
👻 True Crime & Unexplained Mysteries,@SwordAndScale,Sword and Scale,True Crime Podcast
👻 True Crime & Unexplained Mysteries,@atwwdpodcast,And That's Why We Drink,Paranormal & True Crime
👻 True Crime & Unexplained Mysteries,@TheVanishedPod,The Vanished,Missing Persons Podcast
🏛️ History & Archaeology,@HISTORY,HISTORY,TV Network
🏛️ History & Archaeology,@BeschlossDC,Michael Beschloss,Presidential Historian
🏛️ History & Archaeology,@BritishMuseum,British Museum,Human History
🏛️ History & Archaeology,@smithsonian,Smithsonian Institution,Museum Complex
🏛️ History & Archaeology,@KevinMKruse,Kevin M. Kruse,American Historian
🏛️ History & Archaeology,@DrLindseyFitz,Lindsey Fitzharris,Medical Historian
🏛️ History & Archaeology,@LettersOfNote,Letters of Note,Historical Correspondence
🏛️ History & Archaeology,@HistoryHit,History Hit,History Network
🏛️ History & Archaeology,@simon_schama,Simon Schama,Art & Cultural Historian
🏛️ History & Archaeology,@RealTimeWWII,Alwyn Collinson,WWII History live-tweeted
🏛️ History & Archaeology,@annefrankhouse,Anne Frank House,Historical Museum
🏛️ History & Archaeology,@ArchDigest,Archaeology Magazine,Archaeological News
🏛️ History & Archaeology,@Gutenberg_org,Project Gutenberg,Historical Texts
"🛠️ DIY, Makers & Crafting",@Make,Make: Magazine,Maker Movement
"🛠️ DIY, Makers & Crafting",@ThisOldHouse,This Old House,Home Improvement
"🛠️ DIY, Makers & Crafting",@adafruit,Adafruit Industries,DIY Electronics
"🛠️ DIY, Makers & Crafting",@instructables,Instructables,DIY Projects Community
"🛠️ DIY, Makers & Crafting",@Etsy,Etsy,Handmade & Craft Goods
"🛠️ DIY, Makers & Crafting",@michaelsstores,Michaels Stores,Arts & Crafts
"🛠️ DIY, Makers & Crafting",@Joann_Stores,JOANN,Fabric & Crafting
"🛠️ DIY, Makers & Crafting",@bobvila,Bob Vila,Home Renovation Expert
"🛠️ DIY, Makers & Crafting",@testedcom,Adam Savage’s Tested,Prop Making & Engineering
"🛠️ DIY, Makers & Crafting",@Raspberry_Pi,Raspberry Pi,DIY Computing
"🛠️ DIY, Makers & Crafting",@arduino,Arduino,Open-source Electronics
"🛠️ DIY, Makers & Crafting",@DIYNetwork,Magnolia Network / DIY,Home Renovations
"🛠️ DIY, Makers & Crafting",@hgtv,HGTV,Home & Garden Design
"🛠️ DIY, Makers & Crafting",@Hackaday,Hackaday,Hardware Hacking
"🐾 Pets, Animals & Wildlife",@dog_rates,WeRateDogs,Humorous Dog Ratings
"🐾 Pets, Animals & Wildlife",@NatGeoWild,Nat Geo WILD,Wildlife Programming
"🐾 Pets, Animals & Wildlife",@darth,darth,Anonymous Animal Lover/Internet Personality
"🐾 Pets, Animals & Wildlife",@SanDiegoZoo,San Diego Zoo,Zoo & Conservation
"🐾 Pets, Animals & Wildlife",@MontereyAq,Monterey Bay Aquarium,Marine Life
"🐾 Pets, Animals & Wildlife",@BindiIrwin,Bindi Irwin,Wildlife Conservationist
"🐾 Pets, Animals & Wildlife",@jacksongalaxy,Jackson Galaxy,Cat Behaviorist
"🐾 Pets, Animals & Wildlife",@PETA,PETA,Animal Rights
"🐾 Pets, Animals & Wildlife",@ASPCA,ASPCA,Animal Rescue
"🐾 Pets, Animals & Wildlife",@KittenXLady,Hannah Shaw,Kitten Rescuer
"🐾 Pets, Animals & Wildlife",@TuckerBudzyn,Tucker Budzyn,Famous Golden Retriever
"🐾 Pets, Animals & Wildlife",@jiffpom,Jiffpom,Famous Pomeranian
"🐾 Pets, Animals & Wildlife",@SheldrickTrust,Sheldrick Wildlife Trust,Elephant Rescue
"🐾 Pets, Animals & Wildlife",@JaneGoodallInst,Jane Goodall,Chimpanzee Conservation
"🐾 Pets, Animals & Wildlife",@OceanX,OceanX,Marine Biology & Ocean Exploration
🚗 Automotive & Motorsports,@F1,Formula 1,Racing League
🚗 Automotive & Motorsports,@NASCAR,NASCAR,Racing League
🚗 Automotive & Motorsports,@LewisHamilton,Lewis Hamilton,F1 Driver
🚗 Automotive & Motorsports,@JeremyClarkson,Jeremy Clarkson,Auto Journalist & TV Host
🚗 Automotive & Motorsports,@MotorTrend,MotorTrend,Automotive Magazine
🚗 Automotive & Motorsports,@CarAndDriver,Car and Driver,Auto Reviews
🚗 Automotive & Motorsports,@Porsche,Porsche,Car Manufacturer
🚗 Automotive & Motorsports,@Ford,Ford Motor Company,Car Manufacturer
🚗 Automotive & Motorsports,@Tesla,Tesla,EV Manufacturer
🚗 Automotive & Motorsports,@DaleJr,Dale Earnhardt Jr.,Ex-NASCAR Driver
🚗 Automotive & Motorsports,@McLarenF1,McLaren,F1 Team
🚗 Automotive & Motorsports,@DougDeMuro,Doug DeMuro,Car Reviewer
🚗 Automotive & Motorsports,@fia,FIA,Motorsport Governing Body
🚗 Automotive & Motorsports,@Jalopnik,Jalopnik,Car Culture News
🚗 Automotive & Motorsports,@GoodwoodRRC,Goodwood Road & Racing,Classic Motorsports
"🌱 Gardening, Agriculture & Homesteading",@KewGardens,Kew Gardens,Botanical Garden
"🌱 Gardening, Agriculture & Homesteading",@TheMontyDon,Monty Don,Gardening
"🌱 Gardening, Agriculture & Homesteading",@EpicGardening,Kevin Espiritu,Urban Gardening
"🌱 Gardening, Agriculture & Homesteading",@PermacultureMag,Permaculture Magazine,Sustainable Living
"🌱 Gardening, Agriculture & Homesteading",@almanac,The Old Farmer's Almanac,Weather & Gardening
"🌱 Gardening, Agriculture & Homesteading",@NYBG,New York Botanical Garden,Botanical Science
🗞️ News,@DemocracyNow,Democracy Now!,Progressive independent news
🗞️ News,@TheOnion,The Onion,Satirical news
🗞️ News,@ProPublica,ProPublica,Investigative journalism
🗞️ News,@AP,The Associated Press,Fact-based wire news
🗞️ News,@NPR,NPR,Public radio/storytelling
🗞️ News,@MotherJones,Mother Jones,Progressive magazine
🗞️ News,@sciam,Scientific American,Science news
🗞️ News,@FinancialTimes,Financial Times,Global economy
🗞️ News,@HuffPostWomen,HuffPost Women,Women-centric news
🗞️ News,@TeenVogue,Teen Vogue,Youth politics and culture
🗞️ News,@TheAdvocateMag,The Advocate,LGBTQ+ news
🗞️ News,@IndianExpress,The Indian Express,South Asian news
🗞️ News,@allafrica,AllAfrica,Pan-African news
🗞️ News,@TheIntercept,The Intercept,Adversarial journalism
🗞️ News,@PositiveNewsUK,Positive News,Constructive/positive journalism
🗞️ News,@VICENews,VICE News,Alternative/youth-focused news
🗞️ News,@Reuters,Reuters,Global wire service
🗞️ News,@Bellingcat,Bellingcat,Open-source intelligence
👗 Fashion,@hypebeast,HYPEBEAST,Streetwear & sneakers
👗 Fashion,@DapperDanHarlem,Dapper Dan,Streetwear pioneer
👗 Fashion,@WinnieHarlow,Winnie Harlow,Model & Vitiligo advocate
👗 Fashion,@TelfarGlobal,TELFAR,Accessible/inclusive luxury
👗 Fashion,@gucci,GUCCI,High fashion/Avant-garde
👗 Fashion,@EileenFisherNY,EILEEN FISHER,Sustainable/minimalist fashion
👗 Fashion,@RickOwensOnline,Rick Owens,Gothic/Avant-garde design
👗 Fashion,@VFILES,VFILES,Gen-Z fashion community
👗 Fashion,@GQMagazine,GQ,Men's style & culture
👗 Fashion,@CFDA,CFDA,American fashion designers council
👗 Fashion,@csiriano,Christian Siriano,Body inclusive design
👗 Fashion,@SavageXFenty,Savage X Fenty,Inclusive lingerie
👗 Fashion,@Depop,Depop,Thrifting & Circular fashion
👗 Fashion,@Zendaya,Zendaya,Red carpet/Youth fashion icon
🎸 Bands,@BTS_twt,BTS,K-Pop global phenomenon
🎸 Bands,@foofighters,Foo Fighters,Mainstream Rock
🎸 Bands,@Gorillaz,Gorillaz,Virtual/Alternative band
🎸 Bands,@VampireWeekend,Vampire Weekend,Indie/College rock
🎸 Bands,@TameImpala,Tame Impala,Psychedelic rock
🎸 Bands,@HAIMtheband,HAIM,Indie pop rock sisters
🎸 Bands,@runjewels,Run The Jewels,Hip Hop Duo
🎸 Bands,@TheNational,The National,Melancholic Indie
🎸 Bands,@Khruangbin,Khruangbin,Global fusion/Funk
🎸 Bands,@slipknot,Slipknot,Heavy Metal
🎸 Bands,@CHVRCHES,CHVRCHES,Synth-pop
🎸 Bands,@TheRoots,The Roots,Hip Hop band
🎸 Bands,@BABYMETAL_JAPAN,BABYMETAL,Kawaii metal
🎸 Bands,@fleetwoodmac,Fleetwood Mac,Classic Rock/Nostalgia
🎸 Bands,@sigurros,Sigur Rós,Icelandic post-rock
🎸 Bands,@arcadefire,Arcade Fire,Art rock/Indie
🎸 Bands,@LCDSoundsystem,LCD Soundsystem,Dance-punk/Electronic
🎸 Bands,@the_xx,The xx,Minimalist indie pop
🎸 Bands,@paramore,Paramore,Alt-rock/Pop-punk
🎸 Bands,@WuTangClan,Wu-Tang Clan,Legendary Hip-hop group
📰 Journalists,@nhannahjones,Nikole Hannah-Jones,Historical/Race journalism
📰 Journalists,@RanaAyyub,Rana Ayyub,Indian investigative journalist
📰 Journalists,@KaraSwisher,Kara Swisher,Tech & Silicon Valley
📰 Journalists,@mtaibbi,Matt Taibbi,Independent/Substack
📰 Journalists,@TaylorLorenz,Taylor Lorenz,Internet culture & Creators
📰 Journalists,@jemelehill,Jemele Hill,Sports & Social issues
📰 Journalists,@ronanfarrow,Ronan Farrow,Investigative/Me Too
📰 Journalists,@FareedZakaria,Fareed Zakaria,Global affairs/Centrist
📰 Journalists,@clarissaward,Clarissa Ward,War correspondent
📰 Journalists,@MashaGessen,Masha Gessen,Russian-American autocracy expert
📰 Journalists,@SopanDeb,Sopan Deb,Culture and sports
📰 Journalists,@BariWeiss,Bari Weiss,Centrist/Independent media
📰 Journalists,@JaneMayerNYer,Jane Mayer,Money in politics
📰 Journalists,@EzraKlein,Ezra Klein,Policy and philosophy
📰 Journalists,@MariaRessa,Maria Ressa,Nobel Laureate / Press freedom
📰 Journalists,@mehdirhasan,Mehdi Hasan,Debate & progressive commentary
📰 Journalists,@davidfolkenflik,David Folkenflik,Media reporter
📰 Journalists,@jayrosen_nyu,Jay Rosen,Journalism critic
📰 Journalists,@NateSilver538,Nate Silver,Data journalism/Polling
🏃‍♂️ Athletics,@SerenaWilliams,Serena Williams,Tennis/Women's empowerment
🏃‍♂️ Athletics,@Simone_Biles,Simone Biles,Gymnastics/Mental health advocate
🏃‍♂️ Athletics,@TonyHawk,Tony Hawk,Skateboarding legend
🏃‍♂️ Athletics,@EliudKipchoge,Eliud Kipchoge,Marathon/Endurance
🏃‍♂️ Athletics,@USWNT,U.S. Soccer WNT,Women's National Soccer Team
🏃‍♂️ Athletics,@KellySlater,Kelly Slater,Surfing champion
🏃‍♂️ Athletics,@AlexHonnold,Alex Honnold,Free solo climbing
🏃‍♂️ Athletics,@TeamKhabib,Khabib Nurmagomedov,MMA/Combat sports
🏃‍♂️ Athletics,@usainbolt,Usain St. Leo Bolt,Track & Field sprinting
🏃‍♂️ Athletics,@MikaelaShiffrin,Mikaela Shiffrin,Alpine skiing
🏃‍♂️ Athletics,@TatyanaMcFadden,Tatyana McFadden,Paralympic wheelchair racing
🏃‍♂️ Athletics,@MagnusCarlsen,Magnus Carlsen,Chess World Champion
🏃‍♂️ Athletics,@ChloeKim,Chloe Kim,Snowboarding
🏃‍♂️ Athletics,@TigerWoods,Tiger Woods,Golf legend
🏃‍♂️ Athletics,@JLin7,Jeremy Lin,Basketball/Asian American representation
🏃‍♂️ Athletics,@kilianj,Kilian Jornet,Ultramarathon/Mountaineering
🏃‍♂️ Athletics,@neymarjr,Neymar Jr,Global soccer superstar
🎬 Movies,@A24,A24,Indie/Art-house films
🎬 Movies,@Criterion,Criterion Collection,Classic/world cinema
🎬 Movies,@SundanceFest,Sundance Film Festival,Independent film festival
🎬 Movies,@TheAcademy,The Academy,The Oscars/Mainstream cinema
🎬 Movies,@blumhouse,Blumhouse,Horror genre specific
🎬 Movies,@tcm,Turner Classic Movies,Classic Hollywood
🎬 Movies,@JordanPeele,Jordan Peele,Director/Horror-thriller
🎬 Movies,@ava,Ava DuVernay,Director/Diverse storytelling
🎬 Movies,@edgarwright,Edgar Wright,Director/Film nerd culture
🎬 Movies,@mubi,MUBI,Curated global cinema
🎬 Movies,@letterboxd,Letterboxd,Film social network/Reviews
🎬 Movies,@IndieWire,IndieWire,Independent film news
🎬 Movies,@Festival_Cannes,Festival de Cannes,French film festival
🎬 Movies,@IMAX,IMAX,Immersive cinema formats
🎬 Movies,@Pixar,Pixar,Family/3D Animation
🎬 Movies,@MarvelStudios,Marvel Studios,Superhero blockbusters
🎬 Movies,@BFI,BFI,British Film Institute
🎬 Movies,@RottenTomatoes,Rotten Tomatoes,Movie ratings/consensus
🎬 Movies,@TaikaWaititi,Taika Waititi,Director/Comedy & Indie
🏆 Sport Teams,@WNBA,WNBA,Women's National Basketball Association
🏆 Sport Teams,@AllBlacks,All Blacks,New Zealand Rugby
🏆 Sport Teams,@FCBarcelona,FC Barcelona,Global soccer club
🏆 Sport Teams,@TeamLiquid,Team Liquid,Esports organization
🏆 Sport Teams,@Dodgers,Los Angeles Dodgers,MLB Mainstream
🏆 Sport Teams,@MapleLeafs,Toronto Maple Leafs,NHL Hockey
🏆 Sport Teams,@mipaltan,Mumbai Indians,Cricket - IPL
🏆 Sport Teams,@BocaJrsOficial,Boca Juniors,South American soccer
